aaa,9969343,7085,229,362
aab,9960892,7926,47,90
aac,9422607,8128,71,118
aad,9653576,9734,63,171
aae,9984300,8870,47,65
aaf,9889975,10306,223,306
aag,9965622,8394,151,291
aba,9979666,9241,145,316
abb,9973962,7598,214,374
abc,9923652,10882,88,167
abd,9963072,9229,40,200
abe,9889528,10437,55,80
abf,9998439,8861,175,314
abg,9998842,9130,10,27
aca,9706805,9273,195,299
acb,9681254,8791,79,204
acc,9865528,9350,577,992
acd,9822802,9361,343,637
ace,9951744,8129,85,166
acf,9877425,7734,8,17
acg,9864946,8251,261,398
ada,9804932,10411,27,75
adb,9985610,8103,5,8
adc,9876521,8788,542,996
add,9715634,7150,392,661
ade,9336098,8179,27,44
adf,9469450,10861,71,216
adg,9752059,7509,124,221
aea,9865321,8952,9,29
aeb,9978441,6170,107,274
aec,9889386,9912,77,178
aed,9656754,8553,202,336
aee,9983188,8718,134,219
aef,9791896,9055,60,135
aeg,9988121,7957,11,60
afa,9964166,6546,142,229
afb,9843487,10130,97,237
afc,9955359,8687,82,220
afd,9901027,9315,200,278
afe,9643729,8238,82,227
aff,9989071,8041,780,1796
afg,9671424,9535,161,288
aga,9622365,9202,70,207
agb,9992138,10543,523,1315
agc,9552569,9009,61,142
agd,9869107,6790,13,44
age,9712782,8686,84,299
agf,9823566,8346,126,306
agg,9711016,8870,8,25
baa,9941913,6955,70,153
bab,9881745,7638,265,435
bac,9788474,9106,83,186
bad,9945642,9151,117,215
bae,9909645,8792,184,266
baf,9922742,9866,55,181
bag,9893008,9749,102,160
bba,9735861,9836,122,171
bbb,9999968,7931,70,238
bbc,9801073,9369,34,91
bbd,9850357,10111,341,508
bbe,9911398,8936,94,166
bbf,9942653,10412,178,292
bbg,9035865,8489,211,336
bca,9726049,8341,99,278
bcb,9668762,8484,203,401
bcc,9871587,10199,111,293
bcd,9955449,9049,78,202
bce,9905252,9194,49,75
bcf,9837376,8201,66,154
bcg,9929606,8206,93,235
bda,9920927,9379,142,205
bdb,9840966,7830,220,395
bdc,9942226,8768,54,95
bdd,9945443,9901,17,45
bde,9836861,9772,111,207
bdf,9675876,8189,77,219
bdg,9903199,6983,5,11
bea,9997888,8308,81,204
beb,9692453,10045,6,14
bec,9999844,9878,187,327
bed,9940418,7922,197,335
bee,9985162,10005,14,29
bef,9878920,8368,162,294
beg,9679645,9945,189,311
bfa,9569823,11127,6,16
bfb,9858328,8575,12,34
bfc,9912642,8446,120,201
bfd,9995296,7525,146,285
bfe,9901651,10257,100,185
bff,9963322,8357,117,226
bfg,9702519,9522,178,325
bga,9633371,8486,418,656
bgb,9733585,8839,152,302
bgc,9884338,9896,155,242
bgd,9900687,7936,147,254
bge,9984697,9522,106,226
bgf,9961453,7634,245,391
bgg,9915593,7803,53,81
caa,9939974,9843,6,14
